PSize;OD;thk;BendAngle;BendRadius
DN6;10.287;1.2446;45;4.7625
DN8;13.716;1.651;45;9.525
DN10;17.145;1.651;45;14.2875
DN15;21.336;2.1082;45;19.05
DN20;26.67;2.1082;45;28.575
DN25;33.401;2.7686;45;38.1
DN32;42.164;2.7686;45;47.625
DN40;48.26;2.7686;45;57.15
DN50;60.325;2.7686;45;76.2
DN65;73.025;3.048;45;95.25
DN80;88.9;3.048;45;114.3
DN90;101.6;3.048;45;133.35
DN100;114.3;3.048;45;152.4
DN125;141.3002;3.4036;45;190.5
DN150;168.275;3.4036;45;228.6
DN200;219.075;3.7592;45;304.8
DN250;273.05;4.191;45;381
DN300;323.85;4.572;45;457.2
DN350;355.6;4.7752;45;533.4
DN400;406.4;4.7752;45;609.6
DN450;457.2;4.7752;45;685.8
DN500;508;5.5372;45;762
DN550;558.8;5.5372;45;838.2
DN600;609.6;6.35;45;914.4
