PSize;OD;thk;A;B;Ang;Conn
DN6;10.29;1.73;15.875;25.4;0;BW
DN8;13.72;2.24;15.875;25.4;0;BW
DN10;17.14;2.31;19.05;31.75;0;BW
DN15;21.34;2.77;19.05;34.93;0;BW
DN20;26.67;2.87;22.23;44.45;0;BW
DN25;33.4;3.38;26.99;53.98;0;BW
DN32;42.16;3.56;31.75;65.09;0;BW
DN40;48.26;3.68;33.34;73;0;BW
DN50;60.32;3.91;38.1;88.9;0;BW
DN65;73.02;5.16;41.28;103.19;0;BW
DN80;88.9;5.49;44.45;122.24;0;BW
DN90;101.6;5.74;47.63;142.88;0;BW
DN100;114.3;6.02;50.8;152.4;0;BW
DN125;141.3;6.55;57.15;179.39;0;BW
DN150;168.27;7.11;60.3;215.9;0;BW
DN200;219.07;8.18;69.85;263.53;0;BW
DN250;273.05;7.8;77.79;322.26;0;BW
DN300;323.85;9.52;85.73;377.83;0;BW
DN350;355.6;9.52;88.9;409.58;0;BW
DN400;406.4;9.52;93.66;463.55;0;BW
DN450;457.2;9.52;96.84;520.7;0;BW
DN500;508;9.52;101.6;571.5;0;BW
DN600;609.6;9.52;115.89;688.98;0;BW
DN8;13.72;2.24;39.69;53.18;45;BW
DN10;17.14;2.31;39.69;53.18;45;BW
DN15;21.34;2.77;39.69;54.77;45;BW
DN20;26.67;2.87;48.42;64.29;45;BW
DN25;33.4;3.38;55.56;76.2;45;BW
DN32;42.16;3.56;62.71;91.28;45;BW
DN40;48.26;3.68;66.68;100.81;45;BW
DN50;60.32;3.91;86.52;133.35;45;BW
DN65;73.02;5.16;80.17;131.76;45;BW
DN80;88.9;5.49;96.04;158.75;45;BW
DN100;114.3;6.02;115.89;198.44;45;BW
